MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,EXC
4,EXC
5,EXC
6,EXC
7,EXC
8,EXC
9,EXC
10,EXC
11,EXC
12,EXC
13,EXC
14,EXC
15,EXC
16,EXC
17,EXC
18,EXC
19,EXC
20,EXC
21,EXC
22,EXC
23,EXC
24,EXC
25,EXC
26,EXC
51,EXC
52,EXC
53,EXC
54,EXC
55,EXC
56,EXC
57,EXC
58,EXC
59,EXC
60,EXC
61,EXC
62,EXC
63,EXC
64,EXC
65,EXC
66,EXC
67,EXC
68,EXC
69,EXC
70,EXC
71,LIVE
72,LIVE
73,LIVE
74,LIVE
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,LIVE
99,EXC
100,EXC
101,EXC
102,EXC
103,EXC
104,EXC
105,EXC
106,EXC
107,EXC
108,EXC
109,EXC
110,EXC
111,EXC
112,EXC
113,EXC
114,EXC
115,EXC
116,EXC
117,EXC
118,EXC
119,EXC
126,FAIL
127,FAIL
128,FAIL
129,FAIL
135,EXC
137,EXC
139,EXC
140,EXC
141,EXC
142,EXC
143,EXC
144,EXC
145,EXC
146,EXC
147,EXC
148,EXC
149,EXC
163,LIVE
164,EXC
165,LIVE
166,EXC
170,EXC
171,EXC
172,EXC
180,EXC
182,EXC
190,EXC
191,EXC
192,EXC
193,EXC
194,EXC
195,EXC
196,EXC
197,EXC
199,EXC
200,EXC
201,EXC
202,EXC
208,EXC
211,EXC
214,EXC
217,EXC
221,EXC
225,EXC
